Deal ID,Product,Country,Client (Person),Client (Company),Bank Employee Contact,Start Date,End Date,Deal Type
1,Baby Products,China,Deborah Gross,Hughes-Williams,Gordon Jordan,2023-01-13,2023-04-13,Public
2,Casinos,China,Alex Martin,Rodriguez Inc,Dale Frank,2022-09-23,2022-12-22,Public
3,Online Education Platforms,Australia,Sarah Clark,Davis-Smith,Stephanie Martin,2022-01-13,2022-04-13,Private
4,Natural Gas Providers,Canada,Lisa Smith,Willis-Chang,Natalie Reid,2022-08-30,2022-11-28,Public
5,Electronics,United Arab Emirates,Connor Pacheco,Thomas-Woods,Kayla Lopez,2022-11-21,2023-02-19,Private
6,Online Education Platforms,Japan,Sarah Clark,Davis-Smith,Michael Bryan,2023-03-12,2023-06-10,Public
7,Textbook Publishers,Jamaica,Mr. Joseph Stewart,"Williams, Jones and Newton",Joshua Petersen,2023-03-27,2023-06-25,Public
8,Theme Parks,Costa Rica,Erica Jennings,Mcfarland LLC,Nicholas Molina,2023-03-26,2023-06-24,Private
9,Casinos,United States,Meredith Meyer,Norris PLC,Jose Best,2022-06-17,2022-09-15,Private
10,Water Companies,United States,Lori Haney,Pennington LLC,Joseph Cummings,2023-05-14,2023-08-12,Private
11,Home Appliances,Jamaica,William Bryan MD,Wilson Group,Claudia Moody,2022-04-16,2022-07-15,Private
12,Home Appliances,China,Suzanne Roth DDS,"Nelson, Olson and Lewis",Zachary Ryan,2022-02-08,2022-05-09,Public
13,Water Companies,United States,Brooke Harvey,"Ruiz, Warren and Wallace",Jennifer Clark,2022-06-27,2022-09-25,Public
14,Restaurants,Singapore,Alex Martin,Rodriguez Inc,Henry Brown,2022-04-01,2022-06-30,Public
15,Toys,Nigeria,Stephen Burton,Berger Group,Becky Snow,2023-01-17,2023-04-17,Private
16,Baby Products,Australia,Deborah Gross,Hughes-Williams,Natasha Day,2022-05-03,2022-08-01,Public
17,Wealth Management,United States,Barbara Sullivan,Simmons-Thompson,Rhonda English,2022-01-01,2022-04-01,Private
